invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-12-04,21,1,21,175,123.28
2018-03-16,5,5,1,11,33628.55
2018-08-17,9,2,9,122,154.8
2018-09-13,53,1,53,498,139.74
2018-10-31,38,1,38,432,65.76
2018-11-02,78,1,78,801,195.29
2018-11-09,6,1,6,67,12.450000000000001
2018-11-26,12,1,12,93,42.15
2018-11-28,146,1,73,1717,205.34
2018-12-05,148,1,74,1718,272.32
2019-01-30,17,1,17,176,65.3
2019-02-13,15,1,15,98,68.35
2019-02-26,11,4,6,33,1741.65
2019-03-14,7,1,7,63,16.69
2019-03-19,15,2,8,77,73.38000000000001
2019-06-17,75,2,74,785,347.71
2019-06-18,90,1,90,570,473.36
2019-06-19,1,1,1,1,700.0
2019-07-19,49,1,49,444,168.63
