invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-28,3223,166,1345,15047,14450.54
2017-11-29,3277,133,1397,14159,13411.960000000001
2017-11-30,3002,150,1335,15766,13290.25
2017-12-01,2559,107,1256,12524,9687.28
2017-12-02,402,32,287,3313,1443.26
2017-12-03,1942,90,977,8544,6432.94
2017-12-04,2869,123,1354,12751,13137.5
2017-12-05,2440,170,1196,12604,9467.01
2017-12-06,2470,114,1308,10510,11268.54
2017-12-07,2492,123,1229,11985,10976.6
2017-12-08,1542,121,876,7922,4898.32
2017-12-10,1776,77,980,8521,4982.87
2017-12-11,4117,122,1596,17017,19866.98
2017-12-12,2004,123,1031,11127,10012.13
2017-12-13,3216,106,1421,14280,15879.66
2017-12-14,1965,162,1067,9505,7701.58
2017-12-15,2057,84,1123,8973,10970.56
2017-12-17,637,40,468,4013,1964.79
2017-12-18,645,52,467,3212,2846.58
2017-12-19,2053,203,1146,5218,13350.1
2017-12-20,540,32,377,3028,2268.31
2018-01-01,668,70,521,3005,1966.55
2018-01-02,938,46,634,5603,3061.27
2018-01-03,294,14,250,1994,965.85
2018-01-04,1065,87,695,8499,3373.16
2018-01-05,719,49,505,5463,4979.93
2018-01-07,704,37,489,4702,2080.1
2018-01-08,2688,74,1082,8682,14429.4
2018-01-09,1107,65,775,5678,3799.58
2018-01-10,1644,64,927,5706,11600.81
2018-01-11,2230,87,1062,9615,12228.63
2018-01-12,662,53,441,4534,2084.96
2018-01-14,1116,41,684,5700,3438.31
2018-01-15,1908,50,1008,6112,8908.33
2018-01-16,1859,51,1068,8924,7847.691
2018-01-17,1224,80,810,5168,7021.91
2018-01-18,1228,88,780,7288,3854.6
2018-01-19,1520,77,888,8369,9419.02
2018-01-21,1271,52,706,5892,4022.23
2018-01-22,1699,72,920,7689,7017.81
2018-01-23,1588,168,853,8009,15461.13
2018-01-24,1560,85,887,7649,6385.55
2018-01-25,1254,83,752,7821,3804.14
2018-01-26,1209,82,718,6193,23966.841
2018-01-28,1400,58,796,7490,3953.56
2018-01-29,1399,82,841,6337,7421.111
2018-01-30,1177,60,744,7143,4616.53
2018-01-31,1551,150,949,7229,5971.391
2018-02-01,1590,143,894,8239,4837.9
2018-02-02,1077,147,710,5556,4328.16
2018-02-04,844,35,558,3803,2310.46
2018-02-05,1373,75,789,6617,6838.37
2018-02-06,1058,58,670,6954,3607.21
2018-02-07,884,38,627,2974,4111.69
2018-02-08,871,101,554,4781,2901.15
2018-02-09,824,75,612,4153,3009.97
2018-02-11,1194,51,710,6478,3554.9900000000002
2018-02-12,899,55,571,6991,5680.741
2018-02-13,1950,109,1095,9178,8022.7300000000005
2018-02-14,1050,64,676,6888,3361.39
2018-02-15,1390,91,788,8389,5028.67
2018-02-16,1634,64,923,5494,7938.45
2018-02-18,981,60,616,4351,3367.131
2018-02-19,1156,86,695,8322,3731.4900000000002
2018-02-20,1214,88,768,6589,4217.94
2018-02-21,1390,123,836,6950,5192.741
2018-02-22,1561,91,870,9503,5217.1
2018-02-23,1028,65,704,4703,7546.4310000000005
2018-02-25,1293,58,739,5616,3960.79
2018-02-26,1230,97,804,7039,4471.6
2018-02-27,1619,137,976,7563,6904.31
2018-02-28,1763,84,1024,10398,6203.96
2018-03-01,1937,102,1009,11677,7608.82
2018-03-02,1269,86,772,6456,5063.21
2018-03-04,1802,67,1083,8424,6232.91
2018-03-05,1972,109,1068,8910,9686.83
2018-03-06,1254,105,784,7080,6752.68
2018-03-07,1607,84,934,8572,6373.61
2018-03-08,1319,76,858,6657,5420.86
2018-03-09,932,54,661,5351,3744.09
2018-03-11,669,25,447,2964,1817.58
2018-03-12,1690,82,979,7051,7573.531
2018-03-13,1396,94,831,7229,5195.9
2018-03-14,1293,56,778,7873,4263.5
2018-03-15,1591,97,847,9830,6450.72
2018-03-16,1408,92,757,7221,48929.07
2018-03-18,1392,64,799,6922,4007.2200000000003
2018-03-19,1553,104,896,8340,6600.97
2018-03-20,1315,84,751,6541,52515.17
2018-03-21,1594,117,871,8893,9218.69
2018-03-22,1899,112,946,10163,19204.28
2018-03-23,1388,86,884,7721,5331.21
2018-03-25,1838,60,904,9368,4761.2300000000005
2018-03-26,1983,98,1035,9528,8617.0
2018-03-27,1900,108,1011,10054,7485.15
2018-03-28,1898,87,954,8989,7870.14
2018-03-29,1719,113,927,9504,6704.07
2018-04-03,1106,67,700,5633,3875.1
2018-04-04,1385,72,829,7822,4907.67
2018-04-05,2024,96,1023,11108,7273.15
2018-04-06,919,57,600,5416,3490.17
2018-04-08,1114,44,664,6339,3202.43
2018-04-09,1012,86,610,6696,3510.471
2018-04-10,1318,92,756,6755,4270.26
2018-04-11,1129,64,625,7653,3469.88
2018-04-12,1162,89,657,7518,24266.59
2018-04-13,869,48,588,5843,2551.88
2018-04-15,1457,57,752,6665,5620.14
2018-04-16,3132,86,1257,11913,15653.44
2018-04-17,1540,78,828,8039,13939.59
2018-04-18,1325,86,740,8183,8380.57
2018-04-19,1549,132,813,9964,17109.4
2018-04-20,1157,70,667,6662,5920.150000000001
2018-04-22,1339,50,731,6233,4403.15
2018-04-23,1962,120,931,9368,9095.38
2018-04-24,1686,106,850,11172,5622.56
2018-04-25,1787,79,905,11301,5885.79
2018-04-26,2058,106,1046,11371,-44990.049
2018-04-27,1308,94,755,6686,6546.58
2018-04-29,845,43,534,4605,2638.04
2018-05-01,1458,101,827,7530,7857.46
2018-05-02,1591,117,837,7896,7172.6
2018-05-03,2132,128,979,13295,9737.41
2018-05-04,1365,88,815,9541,4199.15
2018-05-06,1755,64,900,8595,5212.68
2018-05-07,1702,120,953,9179,8630.93
2018-05-08,1786,180,1006,10506,6422.7
2018-05-09,1316,138,804,7830,4590.3
2018-05-10,1417,95,784,7773,5524.29
2018-05-11,952,106,591,4744,3864.4900000000002
2018-05-13,1519,47,832,5825,4613.42
2018-05-14,1489,146,850,7764,5299.49
2018-05-15,1532,91,835,6906,6128.84
2018-05-16,1247,80,726,6176,4618.07
2018-05-17,1625,88,856,9303,6635.79
2018-05-18,1362,125,859,6183,6199.1
2018-05-20,1346,53,685,7747,4696.01
2018-05-21,1432,98,767,9976,5610.63
2018-05-22,1483,156,834,8140,5393.47
2018-05-23,1841,119,907,9829,13550.43
2018-05-24,2038,101,936,11162,6308.41
2018-05-25,1286,99,742,6863,5601.79
2018-05-27,804,35,567,3529,2380.03
2018-05-29,1224,54,764,5734,4233.57
2018-05-30,964,54,678,4350,3650.34
2018-05-31,1725,114,953,8795,7617.39
2018-06-01,1467,142,898,5299,7494.15
2018-06-03,2220,76,970,10307,7034.34
2018-06-04,2641,119,1171,12465,9485.92
2018-06-05,2096,123,1072,9371,12855.3
2018-06-06,1477,96,792,9076,4691.28
2018-06-07,1069,100,612,6340,4461.06
2018-06-08,1786,103,931,10116,15010.59
2018-06-10,1474,78,839,7312,4799.02
2018-06-11,1657,75,952,8118,5801.65
2018-06-12,1568,80,878,9026,7537.26
2018-06-13,1843,93,961,10400,6217.81
2018-06-14,1797,100,861,9449,73706.43000000001
2018-06-15,975,67,608,5485,4063.11
2018-06-17,440,27,333,2137,1583.92
2018-06-18,1783,52,1005,8436,5783.59
2018-06-19,1007,46,670,5133,4287.58
2018-06-20,1221,70,764,7184,4546.45
2018-06-21,1607,118,785,7885,9860.83
